app_id,reviewId,userName,score,content,thumbsUpCount,at,replyContent,repliedAt,appVersion,label_sentiment
gov.disdukcapilkotabdg.salaman,5c41d5ae-c76d-4112-bbe0-aa8c48fa3433,Yuni Kartika,2,sumpah malah makin ribet dari kecamatan setempat bukan makin gampang mana persyaratan nya banyak banget 😭bukan makin cepet tidak mempermudah juga tadinya pengen yang bisa di akses di rumah kalo keluar lagi yaudah langsung aja ke kecamatan setempat masing masing 😭😭😭,0,2025-12-24T21:58:35,,,3.1.7,0
gov.disdukcapilkotabdg.salaman,9e747b18-9f03-4793-b89b-d51e6f36628d,Kurniatin,5,apk dlm ganggaman sangat mudah,0,2025-12-24T08:01:06,,,3.1.7,1
gov.disdukcapilkotabdg.salaman,88070558-fa79-4561-a9db-76079cb351a0,wahyudin supriatna,5,bagus dan cepat layanannya Terima kasih,0,2025-12-19T19:49:49,,,3.1.7,1
gov.disdukcapilkotabdg.salaman,54dd4fda-a364-47e4-973d-a4c097cf3b66,Taufan Wibawa,5,Josssss,0,2025-12-19T08:46:11,,,3.1.7,1
gov.disdukcapilkotabdg.salaman,8a0e08c2-9bc4-4a5a-948e-2bc90b1ec811,dede sutisna,5,Masih susah masuknya ada yang lebih simple,0,2025-12-18T20:26:10,,,3.1.7,1
gov.disdukcapilkotabdg.salaman,a2318e9d-3824-4f04-b667-df30fe0b7558,Byfull Permana,4,sangat bermanfaat,0,2025-12-18T06:41:31,,,,1
gov.disdukcapilkotabdg.salaman,a7eca3fe-f044-4280-b021-28572aec049e,Kum Sakum,2,"aplikasinya bagus siih,cuma selama itukah prosesnya? saya perbaikan data dari tanggal 10 November sampe saat ini belum selesai juga",0,2025-12-16T11:30:17,,,3.1.7,0
gov.disdukcapilkotabdg.salaman,3a57ef2c-42bf-4d97-b638-799457b1e1a0,Keluarga Ikbal Lukmanul Hakim,5,aplikasi yang sangat bermanfaat,0,2025-12-12T12:34:55,,,3.1.7,1
gov.disdukcapilkotabdg.salaman,ae97498a-97a3-4085-af5e-e993e326240f,Adam Suryana,5,"mantap sih ini, ngebantu banget. apa lagi buat yg kerjanya sering keluar kota seperti saya. asal bisa sempatkan waktu, dan ada internet semuanya bisa diurus sendiri. Terima kasih, merasa gak sia2 bayar pajak.. 🙏🏻 Tambahan saran : untuk saya pribadi sih aman, basic saya IT jadi sedikit banyak mengerti baik tentang kendala, maksud, dan kekurangan. Tapi kalau lihat dari ulasan, orang gaptek agak sulit. Mungkin bisa lebih user friendly untuk update ke depannya.",0,2025-12-12T09:55:57,,,3.1.7,1
gov.disdukcapilkotabdg.salaman,a8f42040-4604-4910-bbc7-0f215ec40517,Davis Doank,5,"aplikasi ini saya jamin mempermudah masyarakat,sudah terbukti saya memakai aplikasi lebih fleksibel,tidak buang buang waktu tenaga.dan sangat mudah.sukses selalu",0,2025-12-11T15:55:05,,,3.1.7,1
gov.disdukcapilkotabdg.salaman,9098cfd8-7e7b-4f6f-b8f9-cc0955cb7c4b,tunggul rigsipamrih,5,"Pertama kali saya membuat Akta Kematian melalui aplikasi Salaman Nov 25 ,, hasilnya : mudah , cepat dan memuaskan. Aplikasi keren Disdukcapil Kota Bandung",0,2025-12-10T16:07:04,,,3.1.7,1
gov.disdukcapilkotabdg.salaman,d5691c4d-8c9a-4701-8faa-32a39ee0adb3,Utep Suryana,5,"bagus,sangat bermanfaat dan membantu sekali",0,2025-12-09T19:44:13,,,,1
gov.disdukcapilkotabdg.salaman,51351035-24f2-4e96-8531-8ac1f8a32a5d,Septian Hadi Purnama,1,"sekelas aplikasi pemkot bandung ga bisa dipake di IoS, malu2in sih",0,2025-12-09T07:35:36,,,,0
gov.disdukcapilkotabdg.salaman,07546410-a875-4b1f-9691-f2c270fa1ba1,Alisya Azzahra,5,sangat membantu,0,2025-12-08T16:44:25,,,3.1.7,1
gov.disdukcapilkotabdg.salaman,df5b8123-e07a-4c68-ad79-2a3003989f9f,no bokis,5,"sangat membantu masyarakat, memudah kan urusan yang selalu di anggap sulit ,, semoga bisa lebih di tingkatkan lagi",0,2025-12-05T14:10:12,,,3.1.7,1
gov.disdukcapilkotabdg.salaman,c9081095-d659-4abc-90f6-9e70c5b0771b,Doni Okiana,1,"percuma ada aplikasi salaman ,masuk kok nik dan pasword salah padahal sudah bner apk anehh",1,2025-12-03T08:04:30,,,,0
gov.disdukcapilkotabdg.salaman,f55f5550-4dc9-43ba-8c86-3afad36cdf26,Toni Yulianto FROZENFOOD CHANEL,5,alhamdulillah sangat membantu dan mempermudah,0,2025-12-02T13:40:24,,,3.1.7,1
gov.disdukcapilkotabdg.salaman,172e7db5-3072-4028-b3d2-387f388a5e1f,Herman Deda,5,dengan aplikasi salaman urus surat pindah lebih mudah dan cepat,0,2025-12-01T13:03:44,,,3.1.7,1
gov.disdukcapilkotabdg.salaman,cfae56f8-00a4-4afe-8969-2c4b4ccca292,Dwi Puspaning Cahya,2,"Tolong diperbaiki, masih banyak bugs nya aplikasinya. Mau login lagi aja ribetnya minta ampun",0,2025-11-30T19:49:47,,,3.1.7,0
gov.disdukcapilkotabdg.salaman,8feb34d5-dffa-454c-a413-45d82756201a,Khaerunnisa Cassiopeia,1,"Hp saya ga bisa dipake buat login karna pernah buat login nik yg lain, tolong solusinya",0,2025-11-28T16:33:06,,,3.1.7,0
gov.disdukcapilkotabdg.salaman,ff3f269f-3ca0-4a5d-a31e-e9626f5cd1a1,Muhammad Chaidar Akbar,5,"keren, sangat mempermudah masyarakat yg anti calo",0,2025-11-27T00:10:07,,,3.1.7,1
gov.disdukcapilkotabdg.salaman,9435f2f2-48e4-43c9-9fba-60fdf7b936a7,Afkaarizq Sm17,5,"Mohon untuk di koreksi pada pengajuan yang sudah di proses agar di centang selesai, karena mau mengajukan lagi tidak bisa",0,2025-11-24T17:37:51,,,3.1.7,1
gov.disdukcapilkotabdg.salaman,18b688ce-ac59-42b2-afd0-e14f4d4bfe90,Tedybeart88 Tedybeart88,5,Layanan salaman kota bandung the best,0,2025-11-19T07:36:38,,,3.1.7,1
gov.disdukcapilkotabdg.salaman,3f1a0194-1dec-45d4-b371-a0c79864f8f6,Fajar Zainul mutaqin,1,"Baru juga daftar, nik ktp sma kk sesuai giliran login gabisa (hp sudah terdaftar dengan nik yang saya daftarkan ) dan saya masukan nik tetap gabisa masuk",1,2025-11-18T19:01:17,,,,0
gov.disdukcapilkotabdg.salaman,49b69d95-f053-47e4-86c4-7cb4bcbf6e9a,Deddy Mtw,5,sangat membantu kita yang sedang di luar kota tetap bisa mengurus surat surat penting,0,2025-11-15T08:30:23,,,3.1.7,1
gov.disdukcapilkotabdg.salaman,df20472f-2b77-40e6-86f7-d7d4f83fcd87,Ulifatul Laili Mahmuda,1,jelek,0,2025-11-14T23:52:02,,,,0
gov.disdukcapilkotabdg.salaman,9797f1e9-deac-40fd-8552-a4b68b757909,salamatul mu'minah,1,ga guna,0,2025-11-14T18:48:04,,,3.1.7,0
gov.disdukcapilkotabdg.salaman,9a77381e-1a55-4162-b5dd-9156b281120d,Purbowati,5,membatu untuk tahu bagaimana caranya mengurus surat surat yg di perlukam,0,2025-11-13T08:58:02,,,3.1.7,1
gov.disdukcapilkotabdg.salaman,ee338a03-0ae9-4aa4-b66e-9108717cdafc,Reggy Alpharidzkyfirdaus,1,"aplikasi aneh nik sudh terdftr,di reset pasword gbisa",0,2025-11-12T09:44:51,,,3.1.7,0
gov.disdukcapilkotabdg.salaman,0e7fbba1-f09e-4feb-8fe1-f6ab46e8a7cf,Eli Melawati,5,sangat berguna dan bermanfaat,0,2025-11-12T07:24:00,,,,1
gov.disdukcapilkotabdg.salaman,73f3255f-07c8-427d-bd00-4a827fb28ada,Dinar Permatasari,5,"sangat membantu, mudah dan cepat",0,2025-11-12T05:03:02,,,3.1.7,1
gov.disdukcapilkotabdg.salaman,c12d8a87-2cfa-4375-be17-71a756666dce,Wandy_ 147,1,"Aplikasi engga guna, baru pertama daftar keterangan nik sudah terdaftar, coba nik sama akun akun email tidak cocok",0,2025-11-11T17:43:09,,,3.1.7,0
gov.disdukcapilkotabdg.salaman,a2a5bd84-6586-4913-81f6-53d9ed24f65d,Radja Jibril,1,"klo beli hp seken lalu sudah digunakan oleh pemilik hp sebelumnya malah jd gk bisa masuk / mendaftar baruu ,, gk bisa sama sekaliii.. perangkatnya sudah terdaftar sebelumnya",8,2025-11-10T21:56:46,,,,0
